192.168.43.98 - - [23/May/2018:06:31:12 +0000] "GET /MyApp/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/ourprojects.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/assets/img/projetos/casa-castelo.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/assets/img/projetos/mercado-marapira.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/assets/img/projetos/casa-lago.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/assets/img/projetos/palacio-dionisio.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:16 +0000] "GET /MyApp/assets/img/projetos/residencia-ludi.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:17 +0000] "GET /MyApp/about.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:17 +0000] "GET /MyApp/assets/img/empresa.jpg HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:31:48 +0000] "GET /MyApp/about.html HTTP/1.1" 200 2665
192.168.43.98 - - [23/May/2018:06:31:48 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/testimonies.html HTTP/1.1" 200 4251
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/css/estilos.css HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/js/testimonies.js HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/img/depoimentos/depoimento2.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/img/depoimentos/depoimento1.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/img/depoimentos/depoimento3.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /MyApp/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:11 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.43.98 - - [23/May/2018:06:33:19 +0000] "GET /MyApp/testimonies.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/ourprojects.html HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/assets/img/projetos/casa-lago.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/assets/img/projetos/casa-castelo.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/assets/img/projetos/palacio-dionisio.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/assets/img/projetos/mercado-marapira.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:21 +0000] "GET /MyApp/assets/img/projetos/residencia-ludi.png HTTP/1.1" 304 -
192.168.43.98 - - [23/May/2018:06:33:22 +0000] "GET /MyApp/about.html HTTP/1.1" 304 -
